323.59,Alameda,Babita
463.6,Linzy,Viki
244.23,Lorie,Sara-Ann
600.67,Grier,Ebonee
928.42,Nessie,Zia
721.36,Ira,Karly
817.81,Imojean,Dacia
141.96,Ginnie,Cissiee
747.28,Tiffie,Heida
651.25,Glenda,Siana
624.38,Carol-Jean,Glenda
97.76,Quintina,Rivalee
621.64,Layla,Jorry
181.7,Kenna,Vere
842.11,Tatiania,Shaine
766.16,Viviene,Donnie
970.55,Stacey,Di
338.46,Deedee,Christian
587.75,Ayn,Ketti
673.06,Ivett,Philis
249.07,Dolli,Jeanna
716.32,Jessamyn,Hettie
789.07,Cathie,Celisse
750.8,Randa,Pierette
425.91,Wileen,Darlleen
906.86,Britni,Mathilda
834.78,Daphne,Layla
834.36,Anica,Marita
717.49,Edee,Christy
306.24,Wanda,Tiffie
476.29,Michaelina,Nelle
366.88,Sam,Carmencita
880.73,Peri,Andeee
519.27,Sadie,Ottilie
963.76,Kelly,Vevay
364.38,Babita,Hope
757.07,Briney,Dari
935.21,Jolyn,Doro
236.22,Nelle,Brianna
552.27,Anthia,Maridel
135.75,Lynea,Rebeca
102.1,Nannie,Jorry
490.54,Reeba,Tracey
97.83,Sashenka,Valli
635.96,Harmonia,Dale
139.78,Mariele,Sissy
442.67,Karina,Desirae
511.71,Catharine,Tersina
917.99,Carree,Dede
201.64,Perry,Quintina
574.3,Brynna,Babita
227.41,Janey,Jackie
535.24,Brynna,Maryellen
827.98,Lily,Fawne
865.73,Annice,Lorenza
451.58,Jobi,Melanie
934.36,Mignon,Anica
362.33,Merry,Mellicent
811.04,Carlie,Theodora
529.09,Shirlee,Starla
713.67,Lisette,Lexine
881.01,Emma,Tamqrah
388.89,Stevana,Allyce
116.64,Zondra,Lusa
273.55,Britni,Sibella
114.98,Joeann,Jacquetta
332.23,Amara,Ayn
669.37,Amara,Vere
300.83,Dennie,Renae
657.9,Malina,Dyann
708.66,Mignon,Tori
111.19,Amii,Edyth
451.3,Emelina,Selia
207.9,Rebeca,Trixi
840.56,Rosaline,Joane
737.52,Britte,Marguerite
959.5,Gilda,Jasmina
837.8,Giustina,Sadie
915.62,Nadine,Regina
577.29,Lindie,Gilligan
29.06,Lory,Briney
763.04,Charlena,Rhoda
639.6,Demetris,Lorne
622.58,Emylee,Bettine
398.57,Ermengarde,Sadie
117.75,Alie,Merry
